Epoch 0: Loss = 3.2067, Accuracy = 31.00%
Epoch 0: Loss = 3.2871, Accuracy = 23.00%
Epoch 0: Loss = 3.3374, Accuracy = 18.00%
Epoch 0: Loss = 3.2154, Accuracy = 30.00%
Epoch 0: Loss = 3.2064, Accuracy = 31.00%
Epoch 0: Loss = 3.2540, Accuracy = 26.00%
Epoch 0: Loss = 3.2108, Accuracy = 31.00%
Epoch 0: Loss = 3.0981, Accuracy = 42.00%
Epoch 0: Loss = 3.2912, Accuracy = 23.00%
Epoch 0: Loss = 3.2766, Accuracy = 24.00%
Epoch 0: Loss = 3.2377, Accuracy = 28.00%
Epoch 0: Loss = 3.3255, Accuracy = 19.00%
Epoch 0: Loss = 3.2174, Accuracy = 30.00%
Epoch 0: Loss = 3.2507, Accuracy = 27.00%
Epoch 0: Loss = 3.2500, Accuracy = 27.00%
Epoch 0: Loss = 3.2234, Accuracy = 30.00%
Epoch 0: Loss = 3.1545, Accuracy = 36.00%
Epoch 0: Loss = 3.2273, Accuracy = 29.00%
Epoch 0: Loss = 3.2774, Accuracy = 24.00%
Epoch 0: Loss = 3.1474, Accuracy = 37.00%
Epoch 0: Loss = 3.2854, Accuracy = 23.00%
Epoch 0: Loss = 3.1753, Accuracy = 34.00%
Epoch 0: Loss = 3.2873, Accuracy = 23.00%
Epoch 0: Loss = 3.2256, Accuracy = 29.00%
Epoch 0: Loss = 3.2570, Accuracy = 26.00%
Epoch 0: Loss = 3.2936, Accuracy = 22.00%
Epoch 0: Loss = 3.2774, Accuracy = 24.00%
Epoch 0: Loss = 3.3229, Accuracy = 19.00%
Epoch 0: Loss = 3.2570, Accuracy = 26.00%
Epoch 0: Loss = 3.3673, Accuracy = 15.00%
Epoch 0: Loss = 3.1636, Accuracy = 35.00%
Epoch 0: Loss = 3.2040, Accuracy = 31.00%
Epoch 0: Loss = 3.2270, Accuracy = 29.00%
Epoch 0: Loss = 3.2880, Accuracy = 23.00%
Epoch 0: Loss = 3.2475, Accuracy = 27.00%
Epoch 0: Loss = 3.2570, Accuracy = 26.00%
Epoch 0: Loss = 3.3072, Accuracy = 21.00%
Epoch 0: Loss = 3.2875, Accuracy = 23.00%
Epoch 0: Loss = 3.2470, Accuracy = 27.00%
Epoch 0: Loss = 3.2374, Accuracy = 28.00%
Epoch 0: Loss = 3.2765, Accuracy = 24.00%
Epoch 0: Loss = 3.3180, Accuracy = 20.00%
Epoch 0: Loss = 3.2077, Accuracy = 31.00%
Epoch 0: Loss = 3.2978, Accuracy = 22.00%
Epoch 0: Loss = 3.1688, Accuracy = 35.00%
Epoch 0: Loss = 3.2073, Accuracy = 31.00%
Epoch 0: Loss = 3.1978, Accuracy = 32.00%
Epoch 0: Loss = 3.1873, Accuracy = 33.00%
Epoch 0: Loss = 3.3071, Accuracy = 21.00%
Epoch 0: Loss = 3.1977, Accuracy = 32.00%
Epoch 0: Loss = 3.3071, Accuracy = 21.00%
